##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_customrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_customrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
net90,net92 0.000982 0.001031 0.000049 0.000049 4.976885 {}
_048_,_111_ 0.000508 0.000483 0.000025 -0.000025 4.965160 {}
dpath.a_lt_b$in0[15],net1 0.000689 0.000655 0.000034 -0.000034 4.926899 {}
_105_,dpath.a_lt_b$in0[8] 0.000500 0.000524 0.000024 0.000024 4.868014 {}
dpath.a_lt_b$in0[11],net64 0.001125 0.001071 0.000054 -0.000054 4.804847 {}
_145_,net103 0.001108 0.001057 0.000051 -0.000051 4.599993 {}
net64,net68 0.003958 0.003779 0.000180 -0.000180 4.536242 {}
_042_,net36 0.001375 0.001313 0.000062 -0.000062 4.502008 {}
dpath.a_lt_b$in0[4],net36 0.000500 0.000478 0.000022 -0.000022 4.455901 {}
_053_,dpath.a_lt_b$in1[4] 0.000937 0.000896 0.000041 -0.000041 4.387101 {}
_053_,net57 0.002540 0.002429 0.000111 -0.000111 4.367073 {}
_060_,dpath.a_lt_b$in1[11] 0.000437 0.000456 0.000019 0.000019 4.346395 {}
_060_,_082_ 0.000416 0.000433 0.000018 0.000018 4.271555 {}
_043_,_058_ 0.003227 0.003092 0.000136 -0.000136 4.205710 {}
net102,net79 0.001386 0.001327 0.000058 -0.000058 4.192468 {}
_043_,_081_ 0.000527 0.000549 0.000022 0.000022 4.184875 {}
_093_,clknet_1_0_0_clk 0.000508 0.000487 0.000021 -0.000021 4.141997 {}
_049_,dpath.a_lt_b$in0[2] 0.000547 0.000525 0.000022 -0.000022 4.068730 {}
_061_,_083_ 0.000663 0.000690 0.000027 0.000027 4.042193 {}
_111_,net79 0.000586 0.000609 0.000023 0.000023 3.986452 {}
_112_,net85 0.000577 0.000599 0.000023 0.000023 3.934082 {}
_101_,net68 0.005032 0.005229 0.000197 0.000197 3.919165 {}
_042_,net68 0.001187 0.001141 0.000046 -0.000046 3.889544 {}
clknet_2_1_0_clk,net72 0.001894 0.001822 0.000072 -0.000072 3.791428 {}
_105_,dpath.a_lt_b$in0[11] 0.000818 0.000787 0.000031 -0.000031 3.759446 {}
clknet_2_1_0_clk,dpath.a_lt_b$in1[13] 0.001104 0.001063 0.000041 -0.000041 3.741919 {}
_101_,net94 0.000625 0.000602 0.000023 -0.000023 3.623416 {}
_137_,net68 0.000687 0.000663 0.000024 -0.000024 3.556404 {}
_065_,_166_ 0.000554 0.000573 0.000019 0.000019 3.431185 {}
_101_,_166_ 0.000554 0.000573 0.000019 0.000019 3.431185 {}
_041_,net79 0.000554 0.000573 0.000019 0.000019 3.431185 {}
net45,net60 0.000554 0.000535 0.000019 -0.000019 3.427245 {}
_071_,dpath.a_lt_b$in1[15] 0.001395 0.001443 0.000048 0.000048 3.410431 {}
