##########################################################
# Ostrich sorted net output file.
# Input options:
#    export_sorted_list -plotname design_openrcx_platformrules_vs_invs_-40C -datatype xcap -filename sorted_xcap_platformrules_-40.txt 
#
# golden_setname = invs
# target_setname = openrcx
#
# Each line represents a net pair, with fields in the
# following order.
#   - golden xcap 
#   - target xcap 
#   - absolute difference
#   - signed difference
#   - percent error
#   - notes
#
# Non-excluded nets are listed first, followed
# by excluced nets.
##############################################
dpath.a_lt_b$in0[14],net55 0.000736 0.000528 0.000208 -0.000208 28.242101 {}
_070_,net80 0.000600 0.000436 0.000165 -0.000165 27.455548 {}
_071_,dpath.a_lt_b$in1[15] 0.001395 0.001020 0.000375 -0.000375 26.896984 {}
_111_,_137_ 0.001221 0.000895 0.000326 -0.000326 26.713429 {}
net90,net92 0.000982 0.000724 0.000258 -0.000258 26.308908 {}
_101_,clknet_2_3_0_clk 0.001706 0.001260 0.000446 -0.000446 26.161513 {}
_043_,_081_ 0.000527 0.000391 0.000136 -0.000136 25.730429 {}
dpath.a_lt_b$in1[13],dpath.a_lt_b$in1[14] 0.000892 0.000665 0.000227 -0.000227 25.441218 {}
dpath.a_lt_b$in1[10],net36 0.000469 0.000354 0.000114 -0.000114 24.417744 {}
_066_,_087_ 0.000918 0.000700 0.000218 -0.000218 23.755853 {}
clknet_2_2_0_clk,net59 0.000616 0.000474 0.000142 -0.000142 22.980958 {}
req_msg[27],req_msg[29] 0.000498 0.000612 0.000114 0.000114 22.913552 {}
clknet_2_1_0_clk,net55 0.001035 0.000802 0.000233 -0.000233 22.502483 {}
_112_,dpath.a_lt_b$in1[6] 0.000609 0.000473 0.000136 -0.000136 22.322700 {}
req_msg[18],resp_msg[2] 0.000521 0.000636 0.000115 0.000115 21.991082 {}
net33,net36 0.000416 0.000325 0.000091 -0.000091 21.838433 {}
net101,net56 0.000951 0.000754 0.000197 -0.000197 20.719483 {}
net36,net64 0.000418 0.000333 0.000086 -0.000086 20.515966 {}
net19,net38 0.012372 0.009872 0.002501 -0.002501 20.210904 {}
net21,net36 0.001625 0.001299 0.000326 -0.000326 20.066105 {}
_067_,_177_ 0.000859 0.000688 0.000170 -0.000170 19.844698 {}
